x,y
9.273164179056009289e+02,7.593446076238039950e+02
9.298606048336359891e+02,7.658241834492804401e+02
9.320664339591286307e+02,7.724439116655025828e+02
9.339692396269624624e+02,7.791891563076052307e+02
9.359751935822060886e+02,7.858916755301279409e+02
9.384010527237545602e+02,7.924202643295733424e+02
9.409262582041714040e+02,7.989077025280851103e+02
9.441395702026227355e+02,8.051101176744708710e+02
9.495154748084414678e+02,8.104167576329963367e+02
9.530003313398609635e+02,8.165066953510372514e+02
9.560179945760089595e+02,8.227901508682301710e+02
9.590157865235707959e+02,8.290818373426568542e+02
9.610355611750096614e+02,8.357786318453729564e+02
